name1,name2,party,sort
"Godoy Ibáñez, Joaquín",Sr. Godoy I. Joaquín,Amplitud,-2
"Kast Sommerhoff, Felipe",Sr. Kast S. Felipe,Evópoli,4
"Auth Stewart, Pepe",Sr. Auth S. Pepe,Independientes,-1
"Boric Font, Gabriel",Sr. Boric F. Gabriel,Independientes,-1
"Browne Urrejola, Pedro",Sr. Browne U. Pedro,Independientes,-1
"Fuentes Castillo, Iván",Sr. Fuentes C. Iván,Independientes,-1
"Kast Rist, José Antonio",Sr. Kast R. José Antonio,Independientes,-1
"Poblete Zapata, Roberto",Sr. Poblete Z. Roberto,Independientes,-1
n/a,Sr. Rivas S. Gaspar,Independientes,-1
"Rubilar Barahona, Karla",Sra. Rubilar B. Karla,Independientes,-1
"Saffirio Espinoza, René",Sr. Saffirio E. René,Independientes,-1
"Sepúlveda Orbenes, Alejandra",Sra. Sepúlveda O. Alejandra,Independientes,-1
"Aguiló Melo, Sergio",Sr. Aguiló M. Sergio,Izquierda Ciudadana,-6
"Cariola Oliva, Karol",Sra. Cariola O. Karol,Partido Comunista,-7
"Carmona Soto, Lautaro",Sr. Carmona S. Lautaro,Partido Comunista,-7
"Gutiérrez Gálvez, Hugo",Sr. Gutiérrez G. Hugo,Partido Comunista,-7
"Núñez Arancibia, Daniel",Sr. Núñez A. Daniel,Partido Comunista,-7
"Teillier Del Valle, Guillermo",Sr. Teillier D. Guillermo,Partido Comunista,-7
"Vallejo Dowling, Camila",Sra. Vallejo D. Camila,Partido Comunista,-7
"Arriagada Macaya, Claudio",Sr. Arriagada M. Claudio,Partido Demócrata Cristiano,1
"Chahin Valenzuela, Fuad",Sr. Chahin V. Fuad,Partido Demócrata Cristiano,1
"Chávez Velásquez, Marcelo",Sr. Chávez V. Marcelo,Partido Demócrata Cristiano,1
"Cornejo González, Aldo",Sr. Cornejo G. Aldo,Partido Demócrata Cristiano,1
"Espejo Yaksic, Sergio",Sr. Espejo Y. Sergio,Partido Demócrata Cristiano,1
"Flores García, Iván",Sr. Flores G. Iván,Partido Demócrata Cristiano,1
"León Ramírez, Roberto",Sr. León R. Roberto,Partido Demócrata Cristiano,1
"Lorenzini Basso, Pablo",Sr. Lorenzini B. Pablo,Partido Demócrata Cristiano,1
"Morano Cornejo, Juan Enrique",Sr. Morano C. Juan Enrique,Partido Demócrata Cristiano,1
"Ojeda Uribe, Sergio",Sr. Ojeda U. Sergio,Partido Demócrata Cristiano,1
"Ortiz Novoa, José Miguel",Sr. Ortiz N. José Miguel,Partido Demócrata Cristiano,1
"Pilowsky Greene, Jaime",Sr. Pilowsky G. Jaime,Partido Demócrata Cristiano,1
"Provoste Campillay, Yasna",Sra. Provoste C. Yasna,Partido Demócrata Cristiano,1
"Rincón González, Ricardo",Sr. Rincón G. Ricardo,Partido Demócrata Cristiano,1
"Sabag Villalobos, Jorge",Sr. Sabag V. Jorge,Partido Demócrata Cristiano,1
"Silber Romo, Gabriel",Sr. Silber R. Gabriel,Partido Demócrata Cristiano,1
"Torres Jeldes, Víctor",Sr. Torres J. Víctor,Partido Demócrata Cristiano,1
"Vallespín López, Patricio",Sr. Vallespín L. Patricio,Partido Demócrata Cristiano,1
"Venegas Cárdenas, Mario",Sr. Venegas C. Mario,Partido Demócrata Cristiano,1
"Walker Prieto, Matías",Sr. Walker P. Matías,Partido Demócrata Cristiano,1
"Mirosevic Verdugo, Vlado",Sr. Mirosevic V. Vlado,Partido Liberal de Chile,6
"Alvarado Ramírez, Miguel Ángel",Sr. Alvarado R. Miguel Ángel,Partido Por la Democracia,-2
"Campos Jara, Cristián",Sr. Campos J. Cristián,Partido Por la Democracia,-2
"Carvajal Ambiado, Loreto",Sra. Carvajal A. Loreto,Partido Por la Democracia,-2
"Ceroni Fuentes, Guillermo",Sr. Ceroni F. Guillermo,Partido Por la Democracia,-2
"Farcas Guendelman, Daniel",Sr. Farcas G. Daniel,Partido Por la Democracia,-2
"Farías Ponce, Ramón",Sr. Farías P. Ramón,Partido Por la Democracia,-2
"Girardi Lavín, Cristina",Sra. Girardi L. Cristina,Partido Por la Democracia,-2
"González Torres, Rodrigo",Sr. González T. Rodrigo,Partido Por la Democracia,-2
"Jaramillo Becker, Enrique",Sr. Jaramillo B. Enrique,Partido Por la Democracia,-2
"Jiménez Fuentes, Tucapel",Sr. Jiménez F. Tucapel,Partido Por la Democracia,-2
"Letelier Norambuena, Felipe",Sr. Letelier N. Felipe,Partido Por la Democracia,-2
"Núñez Lozano, Marco Antonio",Sr. Núñez L. Marco Antonio,Partido Por la Democracia,-2
"Tarud Daccarett, Jorge",Sr. Tarud D. Jorge,Partido Por la Democracia,-2
n/a,Sr. Tuma Z. Joaquín,Partido Por la Democracia,-2
"Espinosa Monardes, Marcos",Sr. Espinosa M. Marcos,Partido Radical Social Demócrata,-6
"Hernando Pérez, Marcela",Sra. Hernando P. Marcela,Partido Radical Social Demócrata,-6
"Jarpa Wevar, Carlos Abel",Sr. Jarpa W. Carlos Abel,Partido Radical Social Demócrata,-6
"Meza Moncada, Fernando",Sr. Meza M. Fernando,Partido Radical Social Demócrata,-6
"Pérez Arriagada, José",Sr. Pérez A. José,Partido Radical Social Demócrata,-6
"Robles Pantoja, Alberto",Sr. Robles P. Alberto,Partido Radical Social Demócrata,-6
"Alvarez Vera, Jenny",Sra. Alvarez V. Jenny,Partido Socialista,-5
"Andrade Lara, Osvaldo",Sr. Andrade L. Osvaldo,Partido Socialista,-5
"Castro González, Juan Luis",Sr. Castro G. Juan Luis,Partido Socialista,-5
"Cicardini Milla, Daniella",Sra. Cicardini M. Daniella,Partido Socialista,-5
"Espinoza Sandoval, Fidel",Sr. Espinoza S. Fidel,Partido Socialista,-5
"Fernández Allende, Maya",Sra. Fernández A. Maya,Partido Socialista,-5
"Lemus Aracena, Luis",Sr. Lemus A. Luis,Partido Socialista,-5
"Melo Contreras, Daniel",Sr. Melo C. Daniel,Partido Socialista,-5
"Monsalve Benavides, Manuel",Sr. Monsalve B. Manuel,Partido Socialista,-5
"Pacheco Rivas, Clemira",Sra. Pacheco R. Clemira,Partido Socialista,-5
n/a,Sra. Pascal A. Denise,Partido Socialista,-5
"Rocafull López, Luis",Sr. Rocafull L. Luis,Partido Socialista,-5
"Saldívar Auger, Raúl",Sr. Saldívar A. Raúl,Partido Socialista,-5
"Schilling Rodríguez, Marcelo",Sr. Schilling R. Marcelo,Partido Socialista,-5
"Soto Ferrada, Leonardo",Sr. Soto F. Leonardo,Partido Socialista,-5
"Urízar Muñoz, Christian",Sr. Urízar M. Christian,Partido Socialista,-5
"Becker Alvear, Germán",Sr. Becker A. Germán,Renovación Nacional,8
"Berger Fett, Bernardo",Sr. Berger F. Bernardo,Renovación Nacional,8
"Edwards Silva, Rojo",Sr. Edwards S. Rojo,Renovación Nacional,8
"Fuenzalida Figueroa, Gonzalo",Sr. Fuenzalida F. Gonzalo,Renovación Nacional,8
"García García, René Manuel",Sr. García G. René Manuel,Renovación Nacional,8
n/a,Sr. Martínez L. Rosauro,Renovación Nacional,8
"Monckeberg Bruner, Cristián",Sr. Monckeberg B. Cristián,Renovación Nacional,8
"Monckeberg Díaz, Nicolás",Sr. Monckeberg D. Nicolás,Renovación Nacional,8
"Núñez Urrutia, Paulina",Sra. Núñez U. Paulina,Renovación Nacional,8
"Paulsen Kehr, Diego",Sr. Paulsen K. Diego,Renovación Nacional,8
"Pérez Lahsen, Leopoldo",Sr. Pérez L. Leopoldo,Renovación Nacional,8
"Rathgeb Schifferli, Jorge",Sr. Rathgeb S. Jorge,Renovación Nacional,8
"Sabat Fernández, Marcela",Sra. Sabat F. Marcela,Renovación Nacional,8
"Santana Tirachini, Alejandro",Sr. Santana T. Alejandro,Renovación Nacional,8
"Verdugo Soto, Germán",Sr. Verdugo S. Germán,Renovación Nacional,8
"Jackson Drago, Giorgio",Sr. Jackson D. Giorgio,Revolución Democrática,-4
"Alvarez-Salamanca Ramírez, Pedro Pablo",Sr. Alvarez-Salamanca R. Pedro Pablo,Unión Demócrata Independiente,10
"Barros Montero, Ramón",Sr. Barros M. Ramón,Unión Demócrata Independiente,10
"Bellolio Avaria, Jaime",Sr. Bellolio A. Jaime,Unión Demócrata Independiente,10
"Coloma Alamos, Juan Antonio",Sr. Coloma A. Juan Antonio,Unión Demócrata Independiente,10
"De Mussy Hiriart, Felipe",Sr. De Mussy H. Felipe,Unión Demócrata Independiente,10
"Gahona Salazar, Sergio",Sr. Gahona S. Sergio,Unión Demócrata Independiente,10
"Gutiérrez Pino, Romilio",Sr. Gutiérrez P. Romilio,Unión Demócrata Independiente,10
"Hasbún Selume, Gustavo",Sr. Hasbún S. Gustavo,Unión Demócrata Independiente,10
"Hernández Hernández, Javier",Sr. Hernández H. Javier,Unión Demócrata Independiente,10
"Hoffmann Opazo, María José",Sra. Hoffmann O. María José,Unión Demócrata Independiente,10
"Kort Garriga, Issa",Sr. Kort G. Issa,Unión Demócrata Independiente,10
"Lavín León, Joaquín",Sr. Lavín L. Joaquín,Unión Demócrata Independiente,10
"Macaya Danús, Javier",Sr. Macaya D. Javier,Unión Demócrata Independiente,10
"Melero Abaroa, Patricio",Sr. Melero A. Patricio,Unión Demócrata Independiente,10
"Molina Oliva, Andrea",Sra. Molina O. Andrea,Unión Demócrata Independiente,10
"Morales Muñoz, Celso",Sr. Morales M. Celso,Unión Demócrata Independiente,10
"Nogueira Fernández, Claudia",Sra. Nogueira F. Claudia,Unión Demócrata Independiente,10
"Norambuena Farías, Iván",Sr. Norambuena F. Iván,Unión Demócrata Independiente,10
"Sandoval Plaza, David",Sr. Sandoval P. David,Unión Demócrata Independiente,10
"Silva Méndez, Ernesto",Sr. Silva M. Ernesto,Unión Demócrata Independiente,10
"Squella Ovalle, Arturo",Sr. Squella O. Arturo,Unión Demócrata Independiente,10
"Trisotti Martínez, Renzo",Sr. Trisotti M. Renzo,Unión Demócrata Independiente,10
"Turres Figueroa, Marisol",Sra. Turres F. Marisol,Unión Demócrata Independiente,10
"Ulloa Aguillón, Jorge",Sr. Ulloa A. Jorge,Unión Demócrata Independiente,10
"Urrutia Soto, Osvaldo",Sr. Urrutia S. Osvaldo,Unión Demócrata Independiente,10
"Urrutia Bonilla, Ignacio",Sr. Urrutia B. Ignacio,Unión Demócrata Independiente,10
"Van Rysselberghe Herrera, Enrique",Sr. Van Rysselberghe H. Enrique,Unión Demócrata Independiente,10
"Ward Edwards, Felipe",Sr. Ward E. Felipe,Unión Demócrata Independiente,10
